id,Geographic Area Name,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars)
1400000US53033000100,"Census Tract 1, King County, Washington",50948,77380
1400000US53033000200,"Census Tract 2, King County, Washington",69790,83700
1400000US53033000300,"Census Tract 3, King County, Washington",86696,106081
1400000US53033000401,"Census Tract 4.01, King County, Washington",32262,59498
1400000US53033000402,"Census Tract 4.02, King County, Washington",73792,103795
1400000US53033000500,"Census Tract 5, King County, Washington",146750,188893
1400000US53033000600,"Census Tract 6, King County, Washington",63705,83554
1400000US53033000700,"Census Tract 7, King County, Washington",59807,85593
1400000US53033000800,"Census Tract 8, King County, Washington",105286,130237
1400000US53033000900,"Census Tract 9, King County, Washington",138224,161446
1400000US53033001000,"Census Tract 10, King County, Washington",83295,105819
1400000US53033001100,"Census Tract 11, King County, Washington",81250,108551
1400000US53033001200,"Census Tract 12, King County, Washington",45925,59470
1400000US53033001300,"Census Tract 13, King County, Washington",70250,90435
1400000US53033001400,"Census Tract 14, King County, Washington",92059,114648
1400000US53033001500,"Census Tract 15, King County, Washington",110139,138977
1400000US53033001600,"Census Tract 16, King County, Washington",126096,158940
1400000US53033001701,"Census Tract 17.01, King County, Washington",69596,80770
1400000US53033001702,"Census Tract 17.02, King County, Washington",79375,90336
1400000US53033001800,"Census Tract 18, King County, Washington",102917,109338
1400000US53033001900,"Census Tract 19, King County, Washington",84395,116566
1400000US53033002000,"Census Tract 20, King County, Washington",99726,122443
1400000US53033002100,"Census Tract 21, King County, Washington",106458,136983
1400000US53033002200,"Census Tract 22, King County, Washington",135088,177694
1400000US53033002400,"Census Tract 24, King County, Washington",118750,139250
1400000US53033002500,"Census Tract 25, King County, Washington",113472,132367
1400000US53033002600,"Census Tract 26, King County, Washington",115000,143476
1400000US53033002700,"Census Tract 27, King County, Washington",128292,164000
1400000US53033002800,"Census Tract 28, King County, Washington",124107,140308
1400000US53033002900,"Census Tract 29, King County, Washington",110202,144344
1400000US53033003000,"Census Tract 30, King County, Washington",103470,120687
1400000US53033003100,"Census Tract 31, King County, Washington",123698,153464
1400000US53033003200,"Census Tract 32, King County, Washington",89375,125093
1400000US53033003300,"Census Tract 33, King County, Washington",113188,134621
1400000US53033003400,"Census Tract 34, King County, Washington",106172,137121
1400000US53033003500,"Census Tract 35, King County, Washington",91806,118029
1400000US53033003600,"Census Tract 36, King County, Washington",82268,101532
1400000US53033003800,"Census Tract 38, King County, Washington",124792,162017
1400000US53033003900,"Census Tract 39, King County, Washington",103333,145344
1400000US53033004000,"Census Tract 40, King County, Washington",80208,142701
1400000US53033004100,"Census Tract 41, King County, Washington",175735,253001
1400000US53033004200,"Census Tract 42, King County, Washington",127373,183397
1400000US53033004301,"Census Tract 43.01, King County, Washington",95463,120314
1400000US53033004302,"Census Tract 43.02, King County, Washington",30679,44427
1400000US53033004400,"Census Tract 44, King County, Washington",63344,92972
1400000US53033004500,"Census Tract 45, King County, Washington",105536,139483
1400000US53033004600,"Census Tract 46, King County, Washington",130909,162412
1400000US53033004700,"Census Tract 47, King County, Washington",91288,124766
1400000US53033004800,"Census Tract 48, King County, Washington",116279,148876
1400000US53033004900,"Census Tract 49, King County, Washington",95917,120245
1400000US53033005000,"Census Tract 50, King County, Washington",87112,113877
1400000US53033005100,"Census Tract 51, King County, Washington",120318,146044
1400000US53033005200,"Census Tract 52, King County, Washington",41089,66015
1400000US53033005301,"Census Tract 53.01, King County, Washington",20950,30895
1400000US53033005302,"Census Tract 53.02, King County, Washington",,14170
1400000US53033005400,"Census Tract 54, King County, Washington",101270,124585
1400000US53033005600,"Census Tract 56, King County, Washington",170031,195740
1400000US53033005700,"Census Tract 57, King County, Washington",117449,168855
1400000US53033005801,"Census Tract 58.01, King County, Washington",84583,102004
1400000US53033005802,"Census Tract 58.02, King County, Washington",71715,104452
1400000US53033005900,"Census Tract 59, King County, Washington",109567,158035
1400000US53033006000,"Census Tract 60, King County, Washington",113670,165672
1400000US53033006100,"Census Tract 61, King County, Washington",109055,150596
1400000US53033006200,"Census Tract 62, King County, Washington",179922,260276
1400000US53033006300,"Census Tract 63, King County, Washington",135956,257730
1400000US53033006400,"Census Tract 64, King County, Washington",157670,213672
1400000US53033006500,"Census Tract 65, King County, Washington",103750,170291
1400000US53033006600,"Census Tract 66, King County, Washington",106995,136879
1400000US53033006700,"Census Tract 67, King County, Washington",112224,137202
1400000US53033006800,"Census Tract 68, King County, Washington",116111,170657
1400000US53033006900,"Census Tract 69, King County, Washington",127702,172479
1400000US53033007000,"Census Tract 70, King County, Washington",74063,122620
1400000US53033007100,"Census Tract 71, King County, Washington",84112,118158
1400000US53033007200,"Census Tract 72, King County, Washington",113125,140519
1400000US53033007300,"Census Tract 73, King County, Washington",100317,110382
1400000US53033007401,"Census Tract 74.01, King County, Washington",71453,93776
1400000US53033007402,"Census Tract 74.02, King County, Washington",55181,78178
1400000US53033007500,"Census Tract 75, King County, Washington",68838,88677
1400000US53033007600,"Census Tract 76, King County, Washington",80152,112231
1400000US53033007700,"Census Tract 77, King County, Washington",113397,155667
1400000US53033007800,"Census Tract 78, King County, Washington",173438,267301
1400000US53033007900,"Census Tract 79, King County, Washington",78846,110564
1400000US53033008001,"Census Tract 80.01, King County, Washington",125196,133672
1400000US53033008002,"Census Tract 80.02, King County, Washington",60699,97833
1400000US53033008100,"Census Tract 81, King County, Washington",68884,124218
1400000US53033008200,"Census Tract 82, King County, Washington",81736,116993
1400000US53033008300,"Census Tract 83, King County, Washington",70000,92249
1400000US53033008400,"Census Tract 84, King County, Washington",60910,86617
1400000US53033008500,"Census Tract 85, King County, Washington",50250,79692
1400000US53033008600,"Census Tract 86, King County, Washington",51190,67529
1400000US53033008700,"Census Tract 87, King County, Washington",83090,105700
1400000US53033008800,"Census Tract 88, King County, Washington",120608,150666
1400000US53033008900,"Census Tract 89, King County, Washington",99167,161371
1400000US53033009000,"Census Tract 90, King County, Washington",43438,70089
1400000US53033009100,"Census Tract 91, King County, Washington",34650,59119
1400000US53033009200,"Census Tract 92, King County, Washington",21387,50518
1400000US53033009300,"Census Tract 93, King County, Washington",85750,124854
1400000US53033009400,"Census Tract 94, King County, Washington",65255,84815
1400000US53033009500,"Census Tract 95, King County, Washington",95075,148914
1400000US53033009600,"Census Tract 96, King County, Washington",102569,140802
1400000US53033009701,"Census Tract 97.01, King County, Washington",110368,136857
1400000US53033009702,"Census Tract 97.02, King County, Washington",120189,141222
1400000US53033009800,"Census Tract 98, King County, Washington",114212,128940
1400000US53033009900,"Census Tract 99, King County, Washington",81066,98559
1400000US53033010001,"Census Tract 100.01, King County, Washington",63891,86545
1400000US53033010002,"Census Tract 100.02, King County, Washington",74953,96494
1400000US53033010100,"Census Tract 101, King County, Washington",87188,110507
1400000US53033010200,"Census Tract 102, King County, Washington",111026,140793
1400000US53033010300,"Census Tract 103, King County, Washington",63493,98468
1400000US53033010401,"Census Tract 104.01, King County, Washington",78407,94859
1400000US53033010402,"Census Tract 104.02, King County, Washington",81979,88515
1400000US53033010500,"Census Tract 105, King County, Washington",83245,108654
1400000US53033010600,"Census Tract 106, King County, Washington",105896,128768
1400000US53033010701,"Census Tract 107.01, King County, Washington",67617,83603
1400000US53033010702,"Census Tract 107.02, King County, Washington",46731,78728
1400000US53033010800,"Census Tract 108, King County, Washington",92756,101513
1400000US53033010900,"Census Tract 109, King County, Washington",63536,70927
1400000US53033011001,"Census Tract 110.01, King County, Washington",32247,57397
1400000US53033011002,"Census Tract 110.02, King County, Washington",53300,73150
1400000US53033011101,"Census Tract 111.01, King County, Washington",53295,72698
1400000US53033011102,"Census Tract 111.02, King County, Washington",84491,129745
1400000US53033011200,"Census Tract 112, King County, Washington",48864,59001
1400000US53033011300,"Census Tract 113, King County, Washington",56629,73394
1400000US53033011401,"Census Tract 114.01, King County, Washington",68333,78821
1400000US53033011402,"Census Tract 114.02, King County, Washington",50285,62480
1400000US53033011500,"Census Tract 115, King County, Washington",99706,114473
1400000US53033011600,"Census Tract 116, King County, Washington",107201,142638
1400000US53033011700,"Census Tract 117, King County, Washington",83786,89599
1400000US53033011800,"Census Tract 118, King County, Washington",58827,76847
1400000US53033011900,"Census Tract 119, King County, Washington",93862,105253
1400000US53033012000,"Census Tract 120, King County, Washington",104474,127196
1400000US53033012100,"Census Tract 121, King County, Washington",116836,146643
1400000US53033020100,"Census Tract 201, King County, Washington",115058,152786
1400000US53033020200,"Census Tract 202, King County, Washington",85398,114856
1400000US53033020300,"Census Tract 203, King County, Washington",66734,79375
1400000US53033020401,"Census Tract 204.01, King County, Washington",71033,85659
1400000US53033020402,"Census Tract 204.02, King County, Washington",93811,102639
1400000US53033020500,"Census Tract 205, King County, Washington",71607,81371
1400000US53033020600,"Census Tract 206, King County, Washington",86750,99856
1400000US53033020700,"Census Tract 207, King County, Washington",74643,91812
1400000US53033020800,"Census Tract 208, King County, Washington",107544,137133
1400000US53033020900,"Census Tract 209, King County, Washington",93036,119759
1400000US53033021000,"Census Tract 210, King County, Washington",90806,100890
1400000US53033021100,"Census Tract 211, King County, Washington",81207,90847
1400000US53033021300,"Census Tract 213, King County, Washington",80227,97798
1400000US53033021400,"Census Tract 214, King County, Washington",113438,145794
1400000US53033021500,"Census Tract 215, King County, Washington",125481,148639
1400000US53033021600,"Census Tract 216, King County, Washington",125339,137050
1400000US53033021700,"Census Tract 217, King County, Washington",81796,108965
1400000US53033021802,"Census Tract 218.02, King County, Washington",93750,104258
1400000US53033021803,"Census Tract 218.03, King County, Washington",84362,108407
1400000US53033021804,"Census Tract 218.04, King County, Washington",83125,97555
1400000US53033021903,"Census Tract 219.03, King County, Washington",95313,102798
1400000US53033021904,"Census Tract 219.04, King County, Washington",99051,132066
1400000US53033021905,"Census Tract 219.05, King County, Washington",92333,107057
1400000US53033021906,"Census Tract 219.06, King County, Washington",97670,124623
1400000US53033022001,"Census Tract 220.01, King County, Washington",109943,118515
1400000US53033022003,"Census Tract 220.03, King County, Washington",111497,111325
1400000US53033022005,"Census Tract 220.05, King County, Washington",94390,112518
1400000US53033022006,"Census Tract 220.06, King County, Washington",90270,118147
1400000US53033022101,"Census Tract 221.01, King County, Washington",119653,142735
1400000US53033022102,"Census Tract 221.02, King County, Washington",126269,139566
1400000US53033022201,"Census Tract 222.01, King County, Washington",100069,116833
1400000US53033022202,"Census Tract 222.02, King County, Washington",106391,111310
1400000US53033022203,"Census Tract 222.03, King County, Washington",135200,177858
1400000US53033022300,"Census Tract 223, King County, Washington",166786,209826
1400000US53033022400,"Census Tract 224, King County, Washington",118382,165464
1400000US53033022500,"Census Tract 225, King County, Washington",125600,180391
1400000US53033022603,"Census Tract 226.03, King County, Washington",99696,116399
1400000US53033022604,"Census Tract 226.04, King County, Washington",127750,159292
1400000US53033022605,"Census Tract 226.05, King County, Washington",103112,118060
1400000US53033022606,"Census Tract 226.06, King County, Washington",110625,141773
1400000US53033022701,"Census Tract 227.01, King County, Washington",134665,174477
1400000US53033022702,"Census Tract 227.02, King County, Washington",143920,204898
1400000US53033022703,"Census Tract 227.03, King County, Washington",127708,177501
1400000US53033022801,"Census Tract 228.01, King County, Washington",100903,148997
1400000US53033022802,"Census Tract 228.02, King County, Washington",128088,151943
1400000US53033022803,"Census Tract 228.03, King County, Washington",136250,147765
1400000US53033022901,"Census Tract 229.01, King County, Washington",145221,169960
1400000US53033022902,"Census Tract 229.02, King County, Washington",163032,183219
1400000US53033023000,"Census Tract 230, King County, Washington",135185,160579
1400000US53033023100,"Census Tract 231, King County, Washington",119567,157419
1400000US53033023201,"Census Tract 232.01, King County, Washington",97241,118593
1400000US53033023202,"Census Tract 232.02, King County, Washington",58846,77114
1400000US53033023300,"Census Tract 233, King County, Washington",98805,119951
1400000US53033023401,"Census Tract 234.01, King County, Washington",84583,102458
1400000US53033023403,"Census Tract 234.03, King County, Washington",117917,174988
1400000US53033023404,"Census Tract 234.04, King County, Washington",152750,176136
1400000US53033023500,"Census Tract 235, King County, Washington",127200,164775
1400000US53033023601,"Census Tract 236.01, King County, Washington",106000,134637
1400000US53033023603,"Census Tract 236.03, King County, Washington",102580,126320
1400000US53033023604,"Census Tract 236.04, King County, Washington",72942,103992
1400000US53033023700,"Census Tract 237, King County, Washington",121250,185913
1400000US53033023801,"Census Tract 238.01, King County, Washington",103875,140393
1400000US53033023803,"Census Tract 238.03, King County, Washington",107927,129485
1400000US53033023804,"Census Tract 238.04, King County, Washington",115343,163249
1400000US53033023900,"Census Tract 239, King County, Washington",163864,209694
1400000US53033024000,"Census Tract 240, King County, Washington",140026,200591
1400000US53033024100,"Census Tract 241, King County, Washington",222500,337927
1400000US53033024200,"Census Tract 242, King County, Washington",196250,310095
1400000US53033024300,"Census Tract 243, King County, Washington",111950,159663
1400000US53033024400,"Census Tract 244, King County, Washington",96563,162415
1400000US53033024500,"Census Tract 245, King County, Washington",202827,292716
1400000US53033024601,"Census Tract 246.01, King County, Washington",203313,265916
1400000US53033024602,"Census Tract 246.02, King County, Washington",216488,303154
1400000US53033024701,"Census Tract 247.01, King County, Washington",91938,119178
1400000US53033024702,"Census Tract 247.02, King County, Washington",122647,162740
1400000US53033024800,"Census Tract 248, King County, Washington",96471,114262
1400000US53033024901,"Census Tract 249.01, King County, Washington",147450,212514
1400000US53033024902,"Census Tract 249.02, King County, Washington",158909,184846
1400000US53033024903,"Census Tract 249.03, King County, Washington",170119,225038
1400000US53033025001,"Census Tract 250.01, King County, Washington",122063,136078
1400000US53033025003,"Census Tract 250.03, King County, Washington",152560,203915
1400000US53033025005,"Census Tract 250.05, King County, Washington",120231,179278
1400000US53033025006,"Census Tract 250.06, King County, Washington",151820,189004
1400000US53033025101,"Census Tract 251.01, King County, Washington",87448,120616
1400000US53033025102,"Census Tract 251.02, King County, Washington",100069,116855
1400000US53033025200,"Census Tract 252, King County, Washington",97250,126723
1400000US53033025301,"Census Tract 253.01, King County, Washington",81216,96697
1400000US53033025302,"Census Tract 253.02, King County, Washington",47755,71743
1400000US53033025400,"Census Tract 254, King County, Washington",59952,73789
1400000US53033025500,"Census Tract 255, King County, Washington",66433,79392
1400000US53033025601,"Census Tract 256.01, King County, Washington",72500,91032
1400000US53033025602,"Census Tract 256.02, King County, Washington",113682,129597
1400000US53033025701,"Census Tract 257.01, King County, Washington",62953,73274
1400000US53033025702,"Census Tract 257.02, King County, Washington",100461,114613
1400000US53033025803,"Census Tract 258.03, King County, Washington",67985,78415
1400000US53033025804,"Census Tract 258.04, King County, Washington",82222,89018
1400000US53033025805,"Census Tract 258.05, King County, Washington",66633,79024
1400000US53033025806,"Census Tract 258.06, King County, Washington",85031,99642
1400000US53033026001,"Census Tract 260.01, King County, Washington",93571,117595
1400000US53033026002,"Census Tract 260.02, King County, Washington",58335,70841
1400000US53033026100,"Census Tract 261, King County, Washington",52242,81012
1400000US53033026200,"Census Tract 262, King County, Washington",59225,108677
1400000US53033026300,"Census Tract 263, King County, Washington",75040,83221
1400000US53033026400,"Census Tract 264, King County, Washington",53877,61213
1400000US53033026500,"Census Tract 265, King County, Washington",39301,56901
1400000US53033026600,"Census Tract 266, King County, Washington",74395,91948
1400000US53033026700,"Census Tract 267, King County, Washington",83919,114499
1400000US53033026801,"Census Tract 268.01, King County, Washington",49260,70321
1400000US53033026802,"Census Tract 268.02, King County, Washington",53750,72937
1400000US53033027000,"Census Tract 270, King County, Washington",54844,83152
1400000US53033027100,"Census Tract 271, King County, Washington",43646,63198
1400000US53033027200,"Census Tract 272, King County, Washington",59438,74038
1400000US53033027300,"Census Tract 273, King County, Washington",57448,67571
1400000US53033027400,"Census Tract 274, King County, Washington",75449,88422
1400000US53033027500,"Census Tract 275, King County, Washington",60989,68979
1400000US53033027600,"Census Tract 276, King County, Washington",77455,101410
1400000US53033027701,"Census Tract 277.01, King County, Washington",71444,107661
1400000US53033027702,"Census Tract 277.02, King County, Washington",90487,120793
1400000US53033027800,"Census Tract 278, King County, Washington",100077,130546
1400000US53033027900,"Census Tract 279, King County, Washington",60482,91440
1400000US53033028000,"Census Tract 280, King County, Washington",49773,68313
1400000US53033028100,"Census Tract 281, King County, Washington",61985,67123
1400000US53033028200,"Census Tract 282, King County, Washington",57267,77896
1400000US53033028300,"Census Tract 283, King County, Washington",83897,94096
1400000US53033028402,"Census Tract 284.02, King County, Washington",51006,70443
1400000US53033028403,"Census Tract 284.03, King County, Washington",48212,61997
1400000US53033028500,"Census Tract 285, King County, Washington",69036,81480
1400000US53033028600,"Census Tract 286, King County, Washington",84964,117283
1400000US53033028700,"Census Tract 287, King County, Washington",85598,100236
1400000US53033028801,"Census Tract 288.01, King County, Washington",63692,91427
1400000US53033028802,"Census Tract 288.02, King County, Washington",54879,73976
1400000US53033028901,"Census Tract 289.01, King County, Washington",72513,91875
1400000US53033028902,"Census Tract 289.02, King County, Washington",51048,71121
1400000US53033029001,"Census Tract 290.01, King County, Washington",72835,89775
1400000US53033029003,"Census Tract 290.03, King County, Washington",51507,80660
1400000US53033029004,"Census Tract 290.04, King County, Washington",38295,58973
1400000US53033029101,"Census Tract 291.01, King County, Washington",81143,96707
1400000US53033029102,"Census Tract 291.02, King County, Washington",92782,104244
1400000US53033029203,"Census Tract 292.03, King County, Washington",39835,50375
1400000US53033029204,"Census Tract 292.04, King County, Washington",67423,87001
1400000US53033029205,"Census Tract 292.05, King County, Washington",68186,74528
1400000US53033029206,"Census Tract 292.06, King County, Washington",32554,42971
1400000US53033029303,"Census Tract 293.03, King County, Washington",65799,80504
1400000US53033029304,"Census Tract 293.04, King County, Washington",92531,125301
1400000US53033029305,"Census Tract 293.05, King County, Washington",107153,115071
1400000US53033029306,"Census Tract 293.06, King County, Washington",95300,106125
1400000US53033029307,"Census Tract 293.07, King County, Washington",102566,115754
1400000US53033029403,"Census Tract 294.03, King County, Washington",79158,89597
1400000US53033029405,"Census Tract 294.05, King County, Washington",84271,101650
1400000US53033029406,"Census Tract 294.06, King County, Washington",98889,105856
1400000US53033029407,"Census Tract 294.07, King County, Washington",53056,64021
1400000US53033029408,"Census Tract 294.08, King County, Washington",50817,65702
1400000US53033029502,"Census Tract 295.02, King County, Washington",96917,103142
1400000US53033029503,"Census Tract 295.03, King County, Washington",45804,58849
1400000US53033029504,"Census Tract 295.04, King County, Washington",46697,59616
1400000US53033029601,"Census Tract 296.01, King County, Washington",73610,83137
1400000US53033029602,"Census Tract 296.02, King County, Washington",119423,130386
1400000US53033029700,"Census Tract 297, King County, Washington",51362,71906
1400000US53033029801,"Census Tract 298.01, King County, Washington",68762,103224
1400000US53033029802,"Census Tract 298.02, King County, Washington",90133,104550
1400000US53033029901,"Census Tract 299.01, King County, Washington",83264,92875
1400000US53033029902,"Census Tract 299.02, King County, Washington",92632,112131
1400000US53033030003,"Census Tract 300.03, King County, Washington",68449,76771
1400000US53033030004,"Census Tract 300.04, King County, Washington",51689,76184
1400000US53033030005,"Census Tract 300.05, King County, Washington",62036,70978
1400000US53033030006,"Census Tract 300.06, King County, Washington",46488,61277
1400000US53033030100,"Census Tract 301, King County, Washington",97372,117615
1400000US53033030201,"Census Tract 302.01, King County, Washington",66250,76984
1400000US53033030202,"Census Tract 302.02, King County, Washington",65302,78926
1400000US53033030304,"Census Tract 303.04, King County, Washington",81054,98143
1400000US53033030305,"Census Tract 303.05, King County, Washington",65483,86367
1400000US53033030306,"Census Tract 303.06, King County, Washington",89736,106569
1400000US53033030308,"Census Tract 303.08, King County, Washington",70550,82430
1400000US53033030309,"Census Tract 303.09, King County, Washington",63158,87608
1400000US53033030310,"Census Tract 303.10, King County, Washington",83611,99186
1400000US53033030311,"Census Tract 303.11, King County, Washington",83442,93986
1400000US53033030312,"Census Tract 303.12, King County, Washington",63897,76220
1400000US53033030313,"Census Tract 303.13, King County, Washington",47297,52421
1400000US53033030314,"Census Tract 303.14, King County, Washington",41359,55457
1400000US53033030401,"Census Tract 304.01, King County, Washington",82955,92197
1400000US53033030403,"Census Tract 304.03, King County, Washington",79394,94161
1400000US53033030404,"Census Tract 304.04, King County, Washington",96489,103357
1400000US53033030501,"Census Tract 305.01, King County, Washington",30756,50675
1400000US53033030503,"Census Tract 305.03, King County, Washington",48019,59261
1400000US53033030504,"Census Tract 305.04, King County, Washington",60558,66707
1400000US53033030600,"Census Tract 306, King County, Washington",63516,74468
1400000US53033030700,"Census Tract 307, King County, Washington",50191,68972
1400000US53033030801,"Census Tract 308.01, King County, Washington",46496,53949
1400000US53033030802,"Census Tract 308.02, King County, Washington",50926,64232
1400000US53033030901,"Census Tract 309.01, King County, Washington",70234,82073
1400000US53033030902,"Census Tract 309.02, King County, Washington",59924,70862
1400000US53033031000,"Census Tract 310, King County, Washington",114792,131822
1400000US53033031100,"Census Tract 311, King County, Washington",64802,76570
1400000US53033031202,"Census Tract 312.02, King County, Washington",96667,117504
1400000US53033031204,"Census Tract 312.04, King County, Washington",90781,122441
1400000US53033031205,"Census Tract 312.05, King County, Washington",82917,92009
1400000US53033031206,"Census Tract 312.06, King County, Washington",75649,82440
1400000US53033031301,"Census Tract 313.01, King County, Washington",75476,88762
1400000US53033031302,"Census Tract 313.02, King County, Washington",51559,73063
1400000US53033031400,"Census Tract 314, King County, Washington",59833,75583
1400000US53033031501,"Census Tract 315.01, King County, Washington",92279,112793
1400000US53033031502,"Census Tract 315.02, King County, Washington",77593,95868
1400000US53033031601,"Census Tract 316.01, King County, Washington",109764,126512
1400000US53033031603,"Census Tract 316.03, King County, Washington",110139,117019
1400000US53033031604,"Census Tract 316.04, King County, Washington",97041,107887
1400000US53033031605,"Census Tract 316.05, King County, Washington",104883,129234
1400000US53033031703,"Census Tract 317.03, King County, Washington",95313,130502
1400000US53033031704,"Census Tract 317.04, King County, Washington",102639,112424
1400000US53033031705,"Census Tract 317.05, King County, Washington",110551,121452
1400000US53033031706,"Census Tract 317.06, King County, Washington",88791,104192
1400000US53033031800,"Census Tract 318, King County, Washington",112050,132627
1400000US53033031903,"Census Tract 319.03, King County, Washington",115493,141015
1400000US53033031904,"Census Tract 319.04, King County, Washington",99722,122578
1400000US53033031906,"Census Tract 319.06, King County, Washington",104330,122245
1400000US53033031907,"Census Tract 319.07, King County, Washington",95658,105645
1400000US53033031908,"Census Tract 319.08, King County, Washington",76978,87353
1400000US53033031909,"Census Tract 319.09, King County, Washington",108256,115576
1400000US53033032002,"Census Tract 320.02, King County, Washington",98274,104638
1400000US53033032003,"Census Tract 320.03, King County, Washington",110063,133350
1400000US53033032005,"Census Tract 320.05, King County, Washington",96250,104629
1400000US53033032006,"Census Tract 320.06, King County, Washington",95408,112740
1400000US53033032007,"Census Tract 320.07, King County, Washington",105268,129464
1400000US53033032008,"Census Tract 320.08, King County, Washington",97688,107325
1400000US53033032010,"Census Tract 320.10, King County, Washington",119466,122307
1400000US53033032011,"Census Tract 320.11, King County, Washington",118548,126784
1400000US53033032102,"Census Tract 321.02, King County, Washington",113651,130587
1400000US53033032103,"Census Tract 321.03, King County, Washington",79073,92066
1400000US53033032104,"Census Tract 321.04, King County, Washington",102806,120321
1400000US53033032203,"Census Tract 322.03, King County, Washington",149743,189413
1400000US53033032207,"Census Tract 322.07, King County, Washington",168068,224199
1400000US53033032208,"Census Tract 322.08, King County, Washington",106971,134148
1400000US53033032210,"Census Tract 322.10, King County, Washington",124252,141669
1400000US53033032211,"Census Tract 322.11, King County, Washington",152059,172047
1400000US53033032212,"Census Tract 322.12, King County, Washington",149385,176050
1400000US53033032213,"Census Tract 322.13, King County, Washington",176389,204081
1400000US53033032214,"Census Tract 322.14, King County, Washington",176375,216525
1400000US53033032215,"Census Tract 322.15, King County, Washington",217574,247618
1400000US53033032307,"Census Tract 323.07, King County, Washington",127434,179409
1400000US53033032309,"Census Tract 323.09, King County, Washington",118770,125454
1400000US53033032311,"Census Tract 323.11, King County, Washington",133603,186432
1400000US53033032313,"Census Tract 323.13, King County, Washington",119250,128232
1400000US53033032315,"Census Tract 323.15, King County, Washington",149688,179221
1400000US53033032316,"Census Tract 323.16, King County, Washington",166591,206550
1400000US53033032317,"Census Tract 323.17, King County, Washington",170063,195159
1400000US53033032318,"Census Tract 323.18, King County, Washington",180761,193081
1400000US53033032319,"Census Tract 323.19, King County, Washington",72569,89787
1400000US53033032320,"Census Tract 323.20, King County, Washington",161806,212058
1400000US53033032321,"Census Tract 323.21, King County, Washington",210341,253620
1400000US53033032322,"Census Tract 323.22, King County, Washington",176607,206504
1400000US53033032323,"Census Tract 323.23, King County, Washington",147525,186263
1400000US53033032324,"Census Tract 323.24, King County, Washington",106855,129635
1400000US53033032325,"Census Tract 323.25, King County, Washington",106197,128697
1400000US53033032326,"Census Tract 323.26, King County, Washington",165000,226090
1400000US53033032327,"Census Tract 323.27, King County, Washington",108080,145792
1400000US53033032328,"Census Tract 323.28, King County, Washington",165425,213544
1400000US53033032329,"Census Tract 323.29, King County, Washington",146596,196221
1400000US53033032401,"Census Tract 324.01, King County, Washington",119813,145092
1400000US53033032402,"Census Tract 324.02, King County, Washington",142738,147135
1400000US53033032500,"Census Tract 325, King County, Washington",104583,134709
1400000US53033032601,"Census Tract 326.01, King County, Washington",104776,117687
1400000US53033032602,"Census Tract 326.02, King County, Washington",150943,170605
1400000US53033032702,"Census Tract 327.02, King County, Washington",107044,145622
1400000US53033032703,"Census Tract 327.03, King County, Washington",100260,110769
1400000US53033032704,"Census Tract 327.04, King County, Washington",102348,114721
1400000US53033032800,"Census Tract 328, King County, Washington",92377,123235
1400000US53033990100,"Census Tract 9901, King County, Washington",,
